Title,AgeRating
The Shining,R
M,
The Gold Rush,
My Fair Lady,G
Phenomenon,
The Great Escape,Approved
Naked,Not Rated
Big Night,R
Evil Dead II,R
Somewhere in Time,
Strange Brew,
The Sound of Music,G
Diva,
Strictly Ballroom,
All About Eve,Passed
Forrest Gump,PG-13
Duck Soup,
Bad Taste,
Patton,PG
National Lampoon's Animal House,R
Akira,R
Beauty and the Beast,PG
The Long Kiss Goodnight,R
Down by Law,
Dawn of the Dead,R
Koyaanisqatsi,
Before Sunrise,R
Cyrano de Bergerac,
Groundhog Day,PG
Cool Hand Luke,GP
Back to the Future,PG
Highlander,R
The Remains of the Day,PG
Pink Floyd: The Wall,
The Philadelphia Story,
City Lights,
Night on Earth,
Jean de Florette,
Leaving Las Vegas,R
Young Frankenstein,PG
Arsenic and Old Lace,
Unforgiven,R
The Manchurian Candidate,
Little Women,PG
Shallow Grave,
Fantasia,
Ben-Hur,G
This Is Spinal Tap,R
The Great Dictator,
Exotica,
The Big Sleep,
High Noon,PG
Sabrina,
Being There,PG
Heathers,R
A Christmas Story,
The Unbearable Lightness of Being,
Die Hard,R
Willy Wonka & the Chocolate Factory,G
Some Kind of Wonderful,PG-13
Aladdin,PG
A Room with a View,Not Rated
Indiana Jones and the Last Crusade,PG-13
"The Adventures of Priscilla, Queen of the Desert",
Independence Day,PG-13
Forbidden Planet,G
Strange Days,R
Fried Green Tomatoes,PG-13
Until the End of the World,
Raise the Red Lantern,
In the Name of the Father,
Farewell My Concubine,
Real Genius,
"Paris, Texas",R
Sleepers,R
Priest,PG-13
Field of Dreams,PG
Gandhi,PG
The Rocky Horror Picture Show,R
Manon of the Spring,
My Life as a Dog,
The Killing Fields,
The Man Who Would Be King,
Charade,
Clueless,PG-13
The Breakfast Club,R
On the Waterfront,
A River Runs Through It,PG
Shadowlands,
The Searchers,Passed
Titanic,PG-13
L.A. Confidential,R
Contact,PG
The Full Monty,
Sling Blade,R
Breaking the Waves,
Double Indemnity,Passed
Mr. Smith Goes to Washington,
Chasing Amy,
Shine,
Hamlet,
Rebecca,PG-13
Swingers,R
Butch Cassidy and the Sundance Kid,PG
Jaws,PG
Notorious,
Scream,None
Bringing Up Baby,
Face/Off,R
The Conversation,PG
The Game,R
Rain Man,R
MASH,
The Player,
Three Colors: White,
The Fifth Element,PG-13
Rebel Without a Cause,PG-13
The Untouchables,R
Doctor Zhivago,PG-13
Little Big Man,
Grosse Pointe Blank,
A Fish Called Wanda,R
Searching for Bobby Fischer,
Witness,
Blood Simple,
Raising Arizona,PG-13
Dangerous Liaisons,R
The Elephant Man,PG
Crimes and Misdemeanors,
Platoon,R
Spartacus,PG-13
When Harry Met Sally...,R
Short Cuts,
West Side Story,PG-13
Airplane!,PG
Snow White and the Seven Dwarfs,Approved
Mary Poppins,G
The Birds,PG-13
A Few Good Men,R
The People vs. Larry Flynt,R
What's Eating Gilbert Grape,PG-13
Gallipoli,
The Producers,
Dog Day Afternoon,R
Papillon,R
Deliverance,R
Dial M for Murder,
Blue Velvet,R
Men in Black,PG-13
Ed Wood,R
The Hunt for Red October,PG
Dances with Wolves,PG-13
Donnie Brasco,R
Awakenings,PG-13
The Name of the Rose,
Goldfinger,PG
Cabaret,
Jerry Maguire,R
All the President's Men,PG
Saving Private Ryan,R
The Truman Show,PG
Good Will Hunting,R
As Good as It Gets,PG-13
Strangers on a Train,
The Sweet Hereafter,
It Happened One Night,
The Apartment,Approved
There's Something About Mary,R
A Streetcar Named Desire,
Pleasantville,PG-13
The Spanish Prisoner,
Witness for the Prosecution,Approved
Network,R
Close Encounters of the Third Kind,PG
Midnight Cowboy,X
The Ice Storm,
Antz,
Out of Sight,R
The Adventures of Robin Hood,
Boyz n the Hood,R
The French Connection,R
The Ten Commandments,G
American Graffiti,PG
Bonnie and Clyde,R
The Magnificent Seven,PG-13
Casino,R
Ferris Bueller's Day Off,PG-13
The Jungle Book,PG
Say Anything,
Gattaca,PG-13
The Big Lebowski,R
My Left Foot,
Blazing Saddles,R
Midnight Run,R
The Last Emperor,
American Beauty,R
Toy Story 2,G
Being John Malkovich,R
The Sixth Sense,PG-13
Life Is Beautiful,
The Green Mile,R
Fight Club,R
The Matrix,R
How the Grinch Stole Christmas!,
Run Lola Run,
Bicycle Thieves,
American History X,R
The General,
The Iron Giant,PG
The Celebration,
The 400 Blows,
Shakespeare in Love,R
Yojimbo,
Wild Strawberries,
All About My Mother,
The Best Years of Our Lives,
The Night of the Hunter,
The Grapes of Wrath,
"Lock, Stock and Two Smoking Barrels",R
Princess Mononoke,
All Quiet on the Western Front,
Three Kings,
Who's Afraid of Virginia Woolf?,
La Grande Illusion,
His Girl Friday,
The Insider,R
A Night at the Opera,
The Killing,
Battleship Potemkin,
Man on the Moon,
A Simple Plan,
The Hustler,
Ikiru,
The Straight Story,
Central Station,
Children of Paradise,
October Sky,PG
A Christmas Carol,
Nosferatu,Not Rated
Go,
Gods and Monsters,
Eyes Wide Shut,None
Stalag 17,
Stagecoach,
Election,
Fanny and Alexander,
The Man Who Shot Liberty Valance,
Amarcord,
"South Park: Bigger, Longer & Uncut",
The 39 Steps,
La Strada,Not Rated
"Black Cat, White Cat",
The Exorcist,R
Laura,
Shadow of a Doubt,
Rio Bravo,Passed
Au Revoir les Enfants,
The Red Violin,
Harvey,
Dogma,R
The Thin Man,
The Lion in Winter,
E.T. the Extra-Terrestrial,PG
Happiness,
Boys Don't Cry,R
Elizabeth,R
Un Chien Andalou,
Inherit the Wind,
King Kong,PG-13
In the Heat of the Night,
The Caine Mutiny,
A Bug's Life,G
The Haunting,PG-13
Anatomy of a Murder,Not Rated
Almost Famous,R
"Crouching Tiger, Hidden Dragon",
Magnolia,R
Gladiator,R
Dancer in the Dark,
Requiem for a Dream,Unrated
Chicken Run,
Billy Elliot,R
A Charlie Brown Christmas,
High Fidelity,R
Show Me Love,
From Here to Eternity,
The Lord of the Rings: The Fellowship of the Ring,PG-13
Memento,R
Amélie,
Shrek,PG
Traffic,R
Moulin Rouge!,PG-13
"Monsters, Inc.",G
The Others,PG-13
Snatch,R
"O Brother, Where Art Thou?",PG-13
Mulholland Drive,
You Can Count on Me,
Amores perros,R
Ghost World,R
JFK,R
The Man Who Wasn't There,
Planet of the Apes,PG-13
The Lord of the Rings: The Two Towers,PG-13
Donnie Darko,R
Spirited Away,
Minority Report,PG-13
Road to Perdition,R
A Beautiful Mind,PG-13
To Be or Not to Be,
Punch-Drunk Love,R
Red River,
Y tu mamá también,None
A Man for All Seasons,
The Lord of the Rings: The Return of the King,PG-13
The Pianist,(Banned)
City of God,
Finding Nemo,G
Kill Bill: Vol. 1,R
Talk to Her,
Lost in Translation,R
Mystic River,R
Adaptation.,R
Hero,
Grave of the Fireflies,
Whale Rider,
The Passion of Joan of Arc,
Pirates of the Caribbean: The Curse of the Black Pearl,PG-13
The Bride of Frankenstein,
Sleuth,
X2: X-Men United,
Eternal Sunshine of the Spotless Mind,R
Kill Bill: Vol. 2,R
The Incredibles,PG
Oldboy,R
Before Sunset,R
Big Fish,PG-13
Dogville,R
Garden State,R
In America,
21 Grams,R
Sunrise,
Finding Neverland,
The Station Agent,
Persona,Not Rated
The Last Samurai,R
Sullivan's Travels,
Judgment at Nuremberg,
Kind Hearts and Coronets,
Castle in the Sky,
Barry Lyndon,PG
In the Mood for Love,
Throne of Blood,
Hotel Rwanda,
Downfall,
Million Dollar Baby,PG-13
Crash,NC-17
Sin City,R
Batman Begins,PG-13
The Wages of Fear,
Nights of Cabiria,
For a Few Dollars More,
Brief Encounter,
The Cabinet of Dr. Caligari,
Diabolique,
Sideways,R
The Lady Vanishes,
Scarface,R
Rosemary's Baby,Approved
Frankenstein,Passed
The Sea Inside,
Cinderella Man,PG-13
Star Wars: Episode III - Revenge of the Sith,PG-13
The Thing,R
The Departed,R
V for Vendetta,R
The Battle of Algiers,
Pan's Labyrinth,R
Walk the Line,PG-13
Wallace & Gromit: The Curse of the Were-Rabbit,
Out of the Past,
Rififi,
The Prestige,PG-13
High and Low,
The Lost Weekend,
La Haine,
United 93,R
In Cold Blood,
Little Miss Sunshine,R
The Ox-Bow Incident,
Come and See,
Great Expectations,
No Country for Old Men,R
The Lives of Others,R
Ratatouille,G
There Will Be Blood,R
The Bourne Ultimatum,PG-13
Sweeney Todd: The Demon Barber of Fleet Street,R
Like Stars on Earth,
Children of Men,R
American Gangster,R
Letters from Iwo Jima,
Juno,PG-13
Grindhouse,R
3:10 to Yuma,R
Umberto D.,
Hot Fuzz,R
Hara-Kiri,
Infernal Affairs,
"Aguirre, the Wrath of God",
Atonement,R
Le Samouraï,
The Dark Knight,PG-13
WALL·E,G
Slumdog Millionaire,R
The Curious Case of Benjamin Button,PG-13
The Wrestler,R
Into the Wild,R
Milk,
Gran Torino,R
The Diving Bell and the Butterfly,
The Kid,
Rope,
Let the Right One In,
In Bruges,R
Sweet Smell of Success,
Safety Last!,
La Dolce Vita,
Rocky,PG
Avatar,PG-13
Inglourious Basterds,R
Up,PG
District 9,R
Star Trek,PG-13
Changeling,R
500 Days of Summer,
The Nightmare Before Christmas,PG
Shaun of the Dead,R
Casino Royale,PG-13
My Neighbor Totoro,
Blood Diamond,R
Inception,PG-13
Toy Story 3,G
Black Swan,R
The Social Network,PG-13
How to Train Your Dragon,PG
The Secret in Their Eyes,
True Grit,PG-13
Mary and Max,
Howl's Moving Castle,
Kick-Ass,R
Sherlock Jr.,
Nausicaä of the Valley of the Wind,
"Spring, Summer, Fall, Winter... and Spring",
A Separation,
The King's Speech,R
Warrior,PG-13
Drive,R
Harry Potter and the Deathly Hallows: Part 2,PG-13
Hugo,PG
Elite Squad 2: The Enemy Within,
Ip Man,R
Tokyo Story,
Shutter Island,R
The Dark Knight Rises,PG-13
The Intouchables,R
The Hobbit: An Unexpected Journey,PG-13
The Avengers,PG-13
Life of Pi,PG
The Artist,PG-13
Argo,R
The Perks of Being a Wallflower,PG-13
A Fistful of Dollars,
3 Idiots,PG-13
Jurassic Park,PG-13
Django Unchained,R
Gravity,PG-13
The Hunt,R
Rush,R
Rang De Basanti,
The Hobbit: The Desolation of Smaug,PG-13
Incendies,R
Hachi: A Dog's Tale,G
Memories of Murder,
Lagaan: Once Upon a Time in India,
Before Midnight,R
Prisoners,R
The Help,PG-13
Departures,
Interstellar,PG-13
Boyhood,R
Gone Girl,R
The Wolf of Wall Street,R
Guardians of the Galaxy,PG-13
Dil Chahta Hai,
12 Years a Slave,R
The Grand Budapest Hotel,R
Gangs of Wasseypur,
X-Men: Days of Future Past,PG-13
Swades,
Star Wars: Episode VII - The Force Awakens,PG-13
Whiplash,R
Inside Out,PG
Mad Max: Fury Road,R
The Martian,PG-13
Wild Tales,
The Imitation Game,PG-13
Creed,PG-13
Catch Me If You Can,PG-13
Solaris,
My Father and My Son,
Hacksaw Ridge,R
Arrival,PG-13
Children of Heaven,
Room,R
The Bandit,
A Wednesday,
Andaz Apna Apna,
Hera Pheri,
Sholay,
Munna Bhai M.B.B.S.,
Spotlight,R
Drishyam,
Rogue One: A Star Wars Story,
The Message,
Udaan,
Zootopia,PG
Chak De! India,
Coco,PG
Dangal,Not Rated
Blade Runner 2049,R
Your Name.,
Andrei Rublev,
Dunkirk,PG-13
La La Land,PG-13
Logan,R
Thor: Ragnarok,PG-13
Paper Moon,
The Handmaiden,
Kahaani,
Spider-Man: Into the Spider-Verse,PG
Avengers: Infinity War,PG-13
Bohemian Rhapsody,PG-13
"Three Billboards Outside Ebbing, Missouri",R
Roma,R
Sanjuro,
Tangerines,
Joker,R
Parasite,
Avengers: Endgame,PG-13
Capernaum,
Green Book,PG-13
Ford v Ferrari,PG-13
Marriage Story,R
Andhadhun,Not Rated
Klaus,PG
The Irishman,R
The Red Shoes,
Ace in the Hole,
White Heat,
PK,
Hamilton,PG-13
1917,R
Soul,PG
Anand,
Autumn Sonata,
Time of the Gypsies,
Vikram Vedha,
Portrait of a Lady on Fire,
The Invisible Guest,
Winter Sleep,
Spider-Man: No Way Home,None
The Father,PG-13
Pather Panchali,
Jai Bhim,
Dersu Uzala,
Dune,PG-13
Z,M
A Silent Voice: The Movie,
Neon Genesis Evangelion: The End of Evangelion,
Raatchasan,
Sardar Udham,None
