,year_film,year_ceremony,ceremony,category,name,film,winner
60,1928,1929,2,DIRECTING,Frank Lloyd,Drag;,False
61,1928,1929,2,DIRECTING,Ernst Lubitsch,The Patriot,False
62,1928,1929,2,OUTSTANDING PICTURE,Feature Productions,Alibi,False
63,1928,1929,2,OUTSTANDING PICTURE,Fox,In Old Arizona,False
64,1928,1929,2,OUTSTANDING PICTURE,Metro-Goldwyn-Mayer,The Broadway Melody,True
65,1928,1929,2,OUTSTANDING PICTURE,Metro-Goldwyn-Mayer,Hollywood Revue,False
66,1928,1929,2,OUTSTANDING PICTURE,Paramount Famous Lasky,The Patriot,False
67,1928,1929,2,WRITING,Tom Barry,In Old Arizona;,False
68,1928,1929,2,WRITING,Elliott Clawson,The Cop;,False
69,1928,1929,2,WRITING,Hans Kraly,The Last of Mrs. Cheyney,False
70,1928,1929,2,WRITING,Hans Kraly,The Patriot,True
71,1928,1929,2,WRITING,Josephine Lovett,Our Dancing Daughters,False
72,1928,1929,2,WRITING,Bess Meredyth,A Woman of Affairs;,False
73,1929,1930,3,ACTOR,George Arliss,Disraeli,True
74,1929,1930,3,ACTOR,George Arliss,The Green Goddess,False
75,1929,1930,3,ACTOR,Wallace Beery,The Big House,False
76,1929,1930,3,ACTOR,Maurice Chevalier,The Big Pond,False
77,1929,1930,3,ACTOR,Ronald Colman,Bulldog Drummond,False
78,1929,1930,3,ACTOR,Lawrence Tibbett,The Rogue Song,False
79,1929,1930,3,ACTRESS,Nancy Carroll,The Devil's Holiday,False
80,1929,1930,3,ACTRESS,Ruth Chatterton,Sarah and Son,False
81,1929,1930,3,ACTRESS,Greta Garbo,Anna Christie,False
82,1929,1930,3,ACTRESS,Norma Shearer,The Divorcee,True
83,1929,1930,3,ACTRESS,Norma Shearer,Their Own Desire,False
84,1929,1930,3,ACTRESS,Gloria Swanson,The Trespasser,False
85,1929,1930,3,ART DIRECTION,(William Cameron Menzies),Bulldog Drummond,False
86,1929,1930,3,ART DIRECTION,Herman Rosse,King of Jazz,True
87,1929,1930,3,ART DIRECTION,(Hans Dreier),The Love Parade,False
88,1929,1930,3,ART DIRECTION,(Jack Okey),Sally,False
89,1929,1930,3,ART DIRECTION,(Hans Dreier),The Vagabond King,False
90,1929,1930,3,CINEMATOGRAPHY,(Arthur Edeson),All Quiet on the Western Front,False
91,1929,1930,3,CINEMATOGRAPHY,(William Daniels),Anna Christie,False
92,1929,1930,3,CINEMATOGRAPHY,"(Gaetano Gaudio), (Harry Perry)",Hell's Angels,False
93,1929,1930,3,CINEMATOGRAPHY,(Victor Milner),The Love Parade,False
94,1929,1930,3,CINEMATOGRAPHY,"Joseph T. Rucker, Willard Van Der Veer",With Byrd at the South Pole,True
95,1929,1930,3,DIRECTING,Clarence Brown,Anna Christie;,False
96,1929,1930,3,DIRECTING,Robert Leonard,The Divorcee,False
97,1929,1930,3,DIRECTING,Ernst Lubitsch,The Love Parade,False
98,1929,1930,3,DIRECTING,Lewis Milestone,All Quiet on the Western Front,True
99,1929,1930,3,DIRECTING,King Vidor,Hallelujah,False
100,1929,1930,3,OUTSTANDING PRODUCTION,Universal,All Quiet on the Western Front,True
101,1929,1930,3,OUTSTANDING PRODUCTION,Cosmopolitan,The Big House,False
102,1929,1930,3,OUTSTANDING PRODUCTION,Warner Bros.,Disraeli,False
103,1929,1930,3,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,The Divorcee,False
104,1929,1930,3,OUTSTANDING PRODUCTION,Paramount Famous Lasky,The Love Parade,False
110,1929,1930,3,WRITING,"(George Abbott), (Maxwell Anderson), (Del Andrews)",All Quiet on the Western Front,False
111,1929,1930,3,WRITING,Frances Marion,The Big House,True
112,1929,1930,3,WRITING,(Julian Josephson),Disraeli,False
113,1929,1930,3,WRITING,(John Meehan),The Divorcee,False
114,1929,1930,3,WRITING,(Howard Estabrook),Street of Chance,False
115,1930,1931,4,ACTOR,Lionel Barrymore,A Free Soul,True
116,1930,1931,4,ACTOR,Jackie Cooper,Skippy,False
117,1930,1931,4,ACTOR,Richard Dix,Cimarron,False
118,1930,1931,4,ACTOR,Fredric March,The Royal Family of Broadway,False
119,1930,1931,4,ACTOR,Adolphe Menjou,The Front Page,False
120,1930,1931,4,ACTRESS,Marlene Dietrich,Morocco,False
121,1930,1931,4,ACTRESS,Marie Dressler,Min and Bill,True
122,1930,1931,4,ACTRESS,Irene Dunne,Cimarron,False
123,1930,1931,4,ACTRESS,Ann Harding,Holiday,False
124,1930,1931,4,ACTRESS,Norma Shearer,A Free Soul,False
125,1930,1931,4,ART DIRECTION,Max Rée,Cimarron,True
126,1930,1931,4,ART DIRECTION,"Stephen Goosson, Ralph Hammeras",Just Imagine,False
127,1930,1931,4,ART DIRECTION,Hans Dreier,Morocco,False
128,1930,1931,4,ART DIRECTION,Anton Grot,Svengali,False
129,1930,1931,4,ART DIRECTION,Richard Day,Whoopee!,False
130,1930,1931,4,CINEMATOGRAPHY,Edward Cronjager,Cimarron,False
131,1930,1931,4,CINEMATOGRAPHY,Lee Garmes,Morocco,False
132,1930,1931,4,CINEMATOGRAPHY,Charles Lang,The Right to Love,False
133,1930,1931,4,CINEMATOGRAPHY,"Barney ""Chick"" McGill",Svengali,False
134,1930,1931,4,CINEMATOGRAPHY,Floyd Crosby,Tabu,True
135,1930,1931,4,DIRECTING,Wesley Ruggles,Cimarron,False
136,1930,1931,4,DIRECTING,Clarence Brown,A Free Soul,False
137,1930,1931,4,DIRECTING,Lewis Milestone,The Front Page,False
138,1930,1931,4,DIRECTING,Josef Von Sternberg,Morocco,False
139,1930,1931,4,DIRECTING,Norman Taurog,Skippy,True
140,1930,1931,4,OUTSTANDING PRODUCTION,RKO Radio,Cimarron,True
141,1930,1931,4,OUTSTANDING PRODUCTION,Fox,East Lynne,False
142,1930,1931,4,OUTSTANDING PRODUCTION,The Caddo Company,The Front Page,False
143,1930,1931,4,OUTSTANDING PRODUCTION,Paramount Publix,Skippy,False
144,1930,1931,4,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,Trader Horn,False
149,1930,1931,4,WRITING (Adaptation),Howard Estabrook,Cimarron,True
150,1930,1931,4,WRITING (Adaptation),"Seton I. Miller, Fred Niblo, Jr.",The Criminal Code,False
151,1930,1931,4,WRITING (Adaptation),Horace Jackson,Holiday,False
152,1930,1931,4,WRITING (Adaptation),"Francis Faragoh, Robert N. Lee",Little Caesar,False
153,1930,1931,4,WRITING (Adaptation),"Joseph L. Mankiewicz, Sam Mintz",Skippy,False
154,1930,1931,4,WRITING (Original Story),John Monk Saunders,The Dawn Patrol,True
155,1930,1931,4,WRITING (Original Story),Rowland Brown,The Doorway to Hell,False
156,1930,1931,4,WRITING (Original Story),"Harry d'Abbadie d'Arrast, Douglas Doty, Donald Ogden Stewart",Laughter,False
157,1930,1931,4,WRITING (Original Story),"John Bright, Kubec Glasmon",The Public Enemy,False
158,1930,1931,4,WRITING (Original Story),"Lucien Hubbard, Joseph Jackson",Smart Money,False
159,1931,1932,5,ACTOR,Wallace Beery,The Champ,True
160,1931,1932,5,ACTOR,Alfred Lunt,The Guardsman,False
161,1931,1932,5,ACTOR,Fredric March,Dr. Jekyll and Mr. Hyde,True
162,1931,1932,5,ACTRESS,Marie Dressler,Emma,False
163,1931,1932,5,ACTRESS,Lynn Fontanne,The Guardsman,False
164,1931,1932,5,ACTRESS,Helen Hayes,The Sin of Madelon Claudet,True
165,1931,1932,5,ART DIRECTION,Lazare Meerson,À Nous la Liberté,False
166,1931,1932,5,ART DIRECTION,Richard Day,Arrowsmith,False
167,1931,1932,5,ART DIRECTION,Gordon Wiles,Transatlantic,True
168,1931,1932,5,CINEMATOGRAPHY,Ray June,Arrowsmith,False
169,1931,1932,5,CINEMATOGRAPHY,Karl Struss,Dr. Jekyll and Mr. Hyde,False
170,1931,1932,5,CINEMATOGRAPHY,Lee Garmes,Shanghai Express,True
171,1931,1932,5,DIRECTING,Frank Borzage,Bad Girl,True
172,1931,1932,5,DIRECTING,King Vidor,The Champ,False
173,1931,1932,5,DIRECTING,Josef Von Sternberg,Shanghai Express,False
174,1931,1932,5,OUTSTANDING PRODUCTION,Samuel Goldwyn Productions,Arrowsmith,False
175,1931,1932,5,OUTSTANDING PRODUCTION,Fox,Bad Girl,False
176,1931,1932,5,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,The Champ,False
177,1931,1932,5,OUTSTANDING PRODUCTION,First National,Five Star Final,False
178,1931,1932,5,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,Grand Hotel,True
179,1931,1932,5,OUTSTANDING PRODUCTION,Paramount Publix,One Hour with You,False
180,1931,1932,5,OUTSTANDING PRODUCTION,Paramount Publix,Shanghai Express,False
181,1931,1932,5,OUTSTANDING PRODUCTION,Paramount Publix,The Smiling Lieutenant,False
182,1931,1932,5,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",Flowers and Trees,True
183,1931,1932,5,SHORT SUBJECT (Cartoon),"Leon Schlesinger, Producer",It's Got Me Again,False
184,1931,1932,5,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",Mickey's Orphans,False
185,1931,1932,5,SHORT SUBJECT (Comedy),"Mack Sennett, Producer",The Loud Mouth,False
186,1931,1932,5,SHORT SUBJECT (Comedy),"Hal Roach, Producer",The Music Box,True
187,1931,1932,5,SHORT SUBJECT (Comedy),RKO Radio,Scratch-As-Catch-Can,False
188,1931,1932,5,SHORT SUBJECT (Comedy),RKO Radio,Stout Hearts and Willing Hands,False
189,1931,1932,5,SHORT SUBJECT (Novelty),Paramount Publix,Screen Souvenirs,False
190,1931,1932,5,SHORT SUBJECT (Novelty),Metro-Goldwyn-Mayer,Swing High,False
191,1931,1932,5,SHORT SUBJECT (Novelty),"Mack Sennett, Producer",Wrestling Swordfish,True
196,1931,1932,5,WRITING (Adaptation),Sidney Howard,Arrowsmith,False
197,1931,1932,5,WRITING (Adaptation),Edwin Burke,Bad Girl,True
198,1931,1932,5,WRITING (Adaptation),"Percy Heath, Samuel Hoffenstein",Dr. Jekyll and Mr. Hyde,False
199,1931,1932,5,WRITING (Original Story),Frances Marion,The Champ,True
200,1931,1932,5,WRITING (Original Story),"Grover Jones, William Slavens McNutt",Lady and Gent,False
201,1931,1932,5,WRITING (Original Story),Lucien Hubbard,The Star Witness,False
202,1931,1932,5,WRITING (Original Story),"Adela Rogers St. Johns, Jane Murfin",What Price Hollywood?,False
204,1932,1933,6,ACTOR,Leslie Howard,Berkeley Square,False
205,1932,1933,6,ACTOR,Charles Laughton,The Private Life of Henry VIII,True
206,1932,1933,6,ACTOR,Paul Muni,I Am a Fugitive from a Chain Gang,False
207,1932,1933,6,ACTRESS,Katharine Hepburn,Morning Glory,True
208,1932,1933,6,ACTRESS,May Robson,Lady for a Day,False
209,1932,1933,6,ACTRESS,Diana Wynyard,Cavalcade,False
210,1932,1933,6,ART DIRECTION,William S. Darling,Cavalcade,True
211,1932,1933,6,ART DIRECTION,"Hans Dreier, Roland Anderson",A Farewell to Arms,False
212,1932,1933,6,ART DIRECTION,Cedric Gibbons,When Ladies Meet,False
231,1932,1933,6,CINEMATOGRAPHY,"Charles Bryant Lang, Jr.",A Farewell to Arms,True
232,1932,1933,6,CINEMATOGRAPHY,George J. Folsey,Reunion in Vienna,False
233,1932,1933,6,CINEMATOGRAPHY,Karl Struss,The Sign of the Cross,False
234,1932,1933,6,DIRECTING,Frank Lloyd,Cavalcade,True
235,1932,1933,6,DIRECTING,Frank Capra,Lady for a Day,False
236,1932,1933,6,DIRECTING,George Cukor,Little Women,False
237,1932,1933,6,OUTSTANDING PRODUCTION,Fox,Cavalcade,True
238,1932,1933,6,OUTSTANDING PRODUCTION,Paramount,A Farewell to Arms,False
239,1932,1933,6,OUTSTANDING PRODUCTION,Warner Bros.,42nd Street,False
240,1932,1933,6,OUTSTANDING PRODUCTION,Warner Bros.,I Am a Fugitive from a Chain Gang,False
241,1932,1933,6,OUTSTANDING PRODUCTION,Columbia,Lady for a Day,False
242,1932,1933,6,OUTSTANDING PRODUCTION,RKO Radio,Little Women,False
243,1932,1933,6,OUTSTANDING PRODUCTION,London Films,The Private Life of Henry VIII,False
244,1932,1933,6,OUTSTANDING PRODUCTION,Paramount,She Done Him Wrong,False
245,1932,1933,6,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,Smilin' Through,False
246,1932,1933,6,OUTSTANDING PRODUCTION,Fox,State Fair,False
247,1932,1933,6,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",Building a Building,False
248,1932,1933,6,SHORT SUBJECT (Cartoon),"Walter Lantz, Producer",The Merry Old Soul,False
249,1932,1933,6,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",The Three Little Pigs,True
250,1932,1933,6,SHORT SUBJECT (Comedy),"Warren Doane, Producer",Mister Mugg,False
251,1932,1933,6,SHORT SUBJECT (Comedy),"Louis Brock, Producer",A Preferred List,False
252,1932,1933,6,SHORT SUBJECT (Comedy),"Louis Brock, Producer",So This Is Harris,True
253,1932,1933,6,SHORT SUBJECT (Novelty),"Joe Rock, Producer",Krakatoa,True
254,1932,1933,6,SHORT SUBJECT (Novelty),"Pete Smith, Producer",Menu,False
255,1932,1933,6,SHORT SUBJECT (Novelty),Educational,The Sea,False
260,1932,1933,6,WRITING (Adaptation),Robert Riskin,Lady for a Day,False
261,1932,1933,6,WRITING (Adaptation),"Victor Heerman, Sarah Y. Mason",Little Women,True
262,1932,1933,6,WRITING (Adaptation),"Paul Green, Sonya Levien",State Fair,False
263,1932,1933,6,WRITING (Original Story),Robert Lord,One Way Passage,True
264,1932,1933,6,WRITING (Original Story),Frances Marion,The Prizefighter and the Lady,False
265,1932,1933,6,WRITING (Original Story),Charles MacArthur,Rasputin and the Empress,False
266,1934,1935,7,ACTOR,Clark Gable,It Happened One Night,True
267,1934,1935,7,ACTOR,Frank Morgan,The Affairs of Cellini,False
268,1934,1935,7,ACTOR,William Powell,The Thin Man,False
269,1934,1935,7,ACTRESS,Claudette Colbert,It Happened One Night,True
270,1934,1935,7,ACTRESS,Bette Davis,Of Human Bondage,False
271,1934,1935,7,ACTRESS,Grace Moore,One Night of Love,False
272,1934,1935,7,ACTRESS,Norma Shearer,The Barretts of Wimpole Street,False
273,1934,1935,7,ART DIRECTION,Richard Day,The Affairs of Cellini,False
274,1934,1935,7,ART DIRECTION,"Van Nest Polglase, Carroll Clark",The Gay Divorcee,False
275,1934,1935,7,ART DIRECTION,"Cedric Gibbons, Fredric Hope",The Merry Widow,True
279,1934,1935,7,CINEMATOGRAPHY,Charles Rosher,The Affairs of Cellini,False
280,1934,1935,7,CINEMATOGRAPHY,Victor Milner,Cleopatra,True
281,1934,1935,7,CINEMATOGRAPHY,George Folsey,Operator 13,False
282,1934,1935,7,DIRECTING,Frank Capra,It Happened One Night,True
283,1934,1935,7,DIRECTING,Victor Schertzinger,One Night of Love,False
284,1934,1935,7,DIRECTING,W. S. Van Dyke,The Thin Man,False
285,1934,1935,7,FILM EDITING,Anne Bauchens,Cleopatra,False
286,1934,1935,7,FILM EDITING,Conrad Nervig,Eskimo,True
287,1934,1935,7,FILM EDITING,Gene Milford,One Night of Love,False
288,1934,1935,7,MUSIC (Scoring),"RKO Radio Studio Music Department, Max Steiner, head of department  (Score by Kenneth Webb and Samuel Hoffenstein)",The Gay Divorcee,False
289,1934,1935,7,MUSIC (Scoring),"RKO Radio Studio Music Department, Max Steiner, head of department  (Score by Max Steiner)",The Lost Patrol,False
290,1934,1935,7,MUSIC (Scoring),"Columbia Studio Music Department, Louis Silvers, head of department  (Thematic Music by Victor Schertzinger and Gus Kahn)",One Night of Love,True
291,1934,1935,7,MUSIC (Song),Music by Vincent Youmans; Lyrics by Edward Eliscu and Gus Kahn,Flying Down to Rio,False
292,1934,1935,7,MUSIC (Song),Music by Con Conrad; Lyrics by Herb Magidson,The Gay Divorcee,True
293,1934,1935,7,MUSIC (Song),Music by Ralph Rainger; Lyrics by Leo Robin,She Loves Me Not,False
294,1934,1935,7,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,The Barretts of Wimpole Street,False
295,1934,1935,7,OUTSTANDING PRODUCTION,Paramount,Cleopatra,False
296,1934,1935,7,OUTSTANDING PRODUCTION,First National,Flirtation Walk,False
297,1934,1935,7,OUTSTANDING PRODUCTION,RKO Radio,The Gay Divorcee,False
298,1934,1935,7,OUTSTANDING PRODUCTION,Warner Bros.,Here Comes the Navy,False
299,1934,1935,7,OUTSTANDING PRODUCTION,20th Century,The House of Rothschild,False
300,1934,1935,7,OUTSTANDING PRODUCTION,Universal,Imitation of Life,False
301,1934,1935,7,OUTSTANDING PRODUCTION,Columbia,It Happened One Night,True
302,1934,1935,7,OUTSTANDING PRODUCTION,Columbia,One Night of Love,False
303,1934,1935,7,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,The Thin Man,False
304,1934,1935,7,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,Viva Villa!,False
305,1934,1935,7,OUTSTANDING PRODUCTION,Jesse L. Lasky (production company),The White Parade,False
306,1934,1935,7,SHORT SUBJECT (Cartoon),"Charles Mintz, Producer",Holiday Land,False
307,1934,1935,7,SHORT SUBJECT (Cartoon),"Walter Lantz, Producer",Jolly Little Elves,False
308,1934,1935,7,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",The Tortoise and the Hare,True
309,1934,1935,7,SHORT SUBJECT (Comedy),"Kenneth Macgowan, Producer",La Cucaracha,True
310,1934,1935,7,SHORT SUBJECT (Comedy),"Jules White, Producer",Men in Black,False
311,1934,1935,7,SHORT SUBJECT (Comedy),Warner Bros.,"What, No Men!",False
312,1934,1935,7,SHORT SUBJECT (Novelty),Skibo Productions,Bosom Friends,False
313,1934,1935,7,SHORT SUBJECT (Novelty),"Stacy Woodard and Horace Woodard, Producers",City of Wax,True
314,1934,1935,7,SHORT SUBJECT (Novelty),"Pete Smith, Producer",Strikes and Spares,False
323,1934,1935,7,WRITING (Adaptation),Robert Riskin,It Happened One Night,True
324,1934,1935,7,WRITING (Adaptation),"Frances Goodrich, Albert Hackett",The Thin Man,False
325,1934,1935,7,WRITING (Adaptation),Ben Hecht,Viva Villa!,False
326,1934,1935,7,WRITING (Original Story),Mauri Grashin,Hide-Out,False
327,1934,1935,7,WRITING (Original Story),Arthur Caesar,Manhattan Melodrama,True
328,1934,1935,7,WRITING (Original Story),Norman Krasna,The Richest Girl in the World,False
330,1935,1936,8,ACTOR,Clark Gable,Mutiny on the Bounty,False
331,1935,1936,8,ACTOR,Charles Laughton,Mutiny on the Bounty,False
332,1935,1936,8,ACTOR,Victor McLaglen,The Informer,True
333,1935,1936,8,ACTOR,Paul Muni,Black Fury,False
334,1935,1936,8,ACTOR,Franchot Tone,Mutiny on the Bounty,False
335,1935,1936,8,ACTRESS,Elisabeth Bergner,Escape Me Never,False
336,1935,1936,8,ACTRESS,Claudette Colbert,Private Worlds,False
337,1935,1936,8,ACTRESS,Bette Davis,Dangerous,True
338,1935,1936,8,ACTRESS,Katharine Hepburn,Alice Adams,False
339,1935,1936,8,ACTRESS,Miriam Hopkins,Becky Sharp,False
340,1935,1936,8,ACTRESS,Merle Oberon,The Dark Angel,False
341,1935,1936,8,ART DIRECTION,Richard Day,The Dark Angel,True
342,1935,1936,8,ART DIRECTION,"Hans Dreier, Roland Anderson",The Lives of a Bengal Lancer,False
343,1935,1936,8,ART DIRECTION,"Van Nest Polglase, Carroll Clark",Top Hat,False
348,1935,1936,8,CINEMATOGRAPHY,Ray June,Barbary Coast,False
349,1935,1936,8,CINEMATOGRAPHY,Victor Milner,The Crusades,False
350,1935,1936,8,CINEMATOGRAPHY,Gregg Toland,Les Miserables,False
351,1935,1936,8,CINEMATOGRAPHY,Hal Mohr,A Midsummer Night's Dream,True
352,1935,1936,8,DANCE DIRECTION,Busby Berkeley,Gold Diggers of 1935,False
353,1935,1936,8,DANCE DIRECTION,Bobby Connolly,Go into Your Dance;,False
354,1935,1936,8,DANCE DIRECTION,Dave Gould,Broadway Melody of 1936;,True
355,1935,1936,8,DANCE DIRECTION,Sammy Lee,King of Burlesque,False
356,1935,1936,8,DANCE DIRECTION,Hermes Pan,Top Hat,False
357,1935,1936,8,DANCE DIRECTION,LeRoy Prinz,Big Broadcast of 1936;,False
358,1935,1936,8,DANCE DIRECTION,Benjamin Zemach,She,False
359,1935,1936,8,DIRECTING,Michael Curtiz,Captain Blood,False
360,1935,1936,8,DIRECTING,John Ford,The Informer,True
361,1935,1936,8,DIRECTING,Henry Hathaway,The Lives of a Bengal Lancer,False
362,1935,1936,8,DIRECTING,Frank Lloyd,Mutiny on the Bounty,False
363,1935,1936,8,FILM EDITING,Robert J. Kern,David Copperfield,False
364,1935,1936,8,FILM EDITING,George Hively,The Informer,False
365,1935,1936,8,FILM EDITING,Barbara McLean,Les Miserables,False
366,1935,1936,8,FILM EDITING,Ellsworth Hoagland,The Lives of a Bengal Lancer,False
367,1935,1936,8,FILM EDITING,Ralph Dawson,A Midsummer Night's Dream,True
368,1935,1936,8,FILM EDITING,Margaret Booth,Mutiny on the Bounty,False
369,1935,1936,8,MUSIC (Scoring),"Warner Bros.-First National Studio Music Department, Leo Forbstein, head of department  (Score by Erich Wolfgang Korngold)",Captain Blood,False
370,1935,1936,8,MUSIC (Scoring),"RKO Radio Studio Music Department, Max Steiner, head of department  (Score by Max Steiner)",The Informer,True
371,1935,1936,8,MUSIC (Scoring),"Metro-Goldwyn-Mayer Studio Music Department, Nat W. Finston, head of department  (Score by Herbert Stothart)",Mutiny on the Bounty,False
372,1935,1936,8,MUSIC (Scoring),"Paramount Studio Music Department, Irvin Talbot, head of department  (Score by Ernst Toch)",Peter Ibbetson,False
373,1935,1936,8,MUSIC (Song),Music and Lyrics by Irving Berlin,Top Hat,False
374,1935,1936,8,MUSIC (Song),Music by Jerome Kern; Lyrics by Dorothy Fields and Jimmy McHugh,Roberta,False
375,1935,1936,8,MUSIC (Song),Music by Harry Warren; Lyrics by Al Dubin,Gold Diggers of 1935,True
376,1935,1936,8,OUTSTANDING PRODUCTION,RKO Radio,Alice Adams,False
377,1935,1936,8,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,Broadway Melody of 1936,False
378,1935,1936,8,OUTSTANDING PRODUCTION,Cosmopolitan,Captain Blood,False
379,1935,1936,8,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,David Copperfield,False
380,1935,1936,8,OUTSTANDING PRODUCTION,RKO Radio,The Informer,False
381,1935,1936,8,OUTSTANDING PRODUCTION,20th Century,Les Miserables,False
382,1935,1936,8,OUTSTANDING PRODUCTION,Paramount,The Lives of a Bengal Lancer,False
383,1935,1936,8,OUTSTANDING PRODUCTION,Warner Bros.,A Midsummer Night's Dream,False
384,1935,1936,8,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,Mutiny on the Bounty,True
385,1935,1936,8,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,Naughty Marietta,False
386,1935,1936,8,OUTSTANDING PRODUCTION,Paramount,Ruggles of Red Gap,False
387,1935,1936,8,OUTSTANDING PRODUCTION,RKO Radio,Top Hat,False
388,1935,1936,8,SHORT SUBJECT (Cartoon),Harman-Ising,The Calico Dragon,False
389,1935,1936,8,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",Three Orphan Kittens,True
390,1935,1936,8,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",Who Killed Cock Robin?,False
391,1935,1936,8,SHORT SUBJECT (Comedy),"Jack Chertok, Producer",How to Sleep,True
392,1935,1936,8,SHORT SUBJECT (Comedy),"Jules White, Producer","Oh, My Nerves",False
393,1935,1936,8,SHORT SUBJECT (Comedy),"Hal Roach, Producer",Tit for Tat,False
